관광지명,관광지분류,주소,운영상세사항,관광지설명,경도,위도,분류,반려견제한사항
아부오름,오름,제주특별자치도 제주시 구좌읍 송당리 2263, / ,오름 둘레까지 어렵지 않게 오를 수 있고 제주오름의 모습을 가깝게 느낄 수 있어 최근 각광 받는 곳 / ,126.7772123,33.44858192,마을 관광자원,
거슨새미오름,오름,제주특별자치도 제주시 구좌읍 송당리 산 145, / ,"해발 380m이며 정상에는 경방 초소가 있고, 전망이 좋은 곳 / ",126.7601311,33.4502293,마을 관광자원,
높은오름,오름,제주특별자치도 제주시 구좌읍 송당리 산 213-1, / ,"주변 일대에서 유일하게 고도가 400m이상 되는 오름으로 능선미가 선하고, 주위에 산재 된 뭇 오름을 압도하는 느낌을 주어 높은오름이라고 불리는 곳 / ",126.7930685,33.45641056,마을 관광자원,
돛오름,오름,제주특별자치도 제주시 구좌읍 송당리 산 3, / ,"비자림 서남쪽으로 이어져 있는 오름으로 풍만한 산체를 이루며, 산정부에서 북동쪽으로 얕게 골이 패어 있는 원형 분화구를 가진 오름 / ",126.8015043,33.48107879,마을 관광자원,
당오름,오름,제주특별자치도 제주시 구좌읍 송당리 산 199-1, / ,전체적으로 나직하고 둥그스름한 몸집에 북서쪽으로 침식된 말굽형 화구를 지닌 화산체 / ,126.7786077,33.46659854,마을 관광자원,
비치미오름,오름,제주특별자치도 제주시 구좌읍 송당리 산 255-1, / ,북동향으로 벌어진 말굽형 화구를 가지고 있는 오름 / ,126.7632392,33.42755752,마을 관광자원,
민오름,오름,제주특별자치도 제주시 구좌읍 송당리 산 156, / ,말굽형 화구를 이루면서 두 봉우리가 서남 동북방향으로 서로 마주보기 있는 형태의 오름 / ,126.7627906,33.43633836,마을 관광자원,
안친오름,오름,제주특별자치도 제주시 구좌읍 송당리 880-1, / ,"높이 192m, 둘레 924m, 총면적 4만 6443m² 규모의 기생 화산 / ",126.7859609,33.47846757,마을 관광자원,
성불오름,오름,제주특별자치도 제주시 구좌읍 송당리 산 266, / ,송당리에 위치한 소화산체 / ,126.7499913,33.42212636,마을 관광자원,
문석이오름,오름,제주특별자치도 제주시 구좌읍 송당리 산234 , / ,가파른 북쪽 비탈면 위쪽은 억새와 잡초로 덮여 있고 아래쪽은 인공적으로 심은 삼나무로 덮여 있음 / ,126.7945173,33.44641863,마을 관광자원,
말방목공원,공원,제주특별자치도 제주시 구좌읍 송당리 2458, / ,"산책로, 말 먹이주기 체험 등을 무료로 할 수 있는 곳 / ",126.7848137,33.4419933,마을 관광자원,
동쪽송당,공원,제주특별자치도 제주시 구좌읍 송당리 2635-3,연중무휴 / (평일+주말)09:00~18:00,창업주 강동화회장이 도민과 관광객을 위해 개원한 종합공원 / ,126.731196,33.43548274,마을 관광자원,
만장굴,자연,제주특별자치도 제주시 구좌읍 월정리 산 41-5,매월1번째수요일 / (평일+주말+공휴일)09:00~18:00,천연 기념물 제98호로 수십만 년 전에 형성된 동굴로서 내부의 형태와 지형이 잘 보존되어 있는 제주도의 용암동굴 / 4000원(성인개인)+3000원(성인단체)+2000원(청소년개인+군인개인+어린이개인)+1500원(청소년단체+군인단체+어린이단체),126.7713399,33.52844651,마을 관광자원,
월정리해수욕장,해수욕장+해변,제주특별자치도 제주시 구좌읍 월정리 33-3, / ,제주도의 동쪽에 위치하고 있는 마을인 월정리의 에메랄드 빛의 풍경화처럼 아름다운 해변 / 무료,126.7958051,33.55646353,마을 관광자원,
종달고망난돌쉼터,공원,제주특별자치도 제주시 구좌읍 종달리 112-4, / ,"종달해안도로를 지나다 하도해수욕장에 도달할 때 쯤 고망난돌쉼터를 만날 수 있으며, 빠름을 좋아하는 사람들에게는 그 모습을 드러내지 않는 곳이기도 함. 지나치기 쉬운 숨은 명소 / ",126.9068362,33.51019382,마을 관광자원,
용눈이오름,오름,제주특별자치도 제주시 구좌읍 종달리 산 28, / ,"능선의 아름다움을 뽐내는 오름, 김영갑 작가가 사랑한 오름. 2023년 1월 31일까지 자연휴식년제(출입제한)을 시행 / ",126.8326771,33.45988068,마을 관광자원,
손지오름,오름,제주특별자치도 제주시 구좌읍 종달리 산 52, / ,한라산의 축소판이라 해서 한라산의 손자라는 의미로 ‘손지오름’이라 불리는 오름 / ,126.8194209,33.45528416,마을 관광자원,
지미봉,오름,제주특별자치도 제주시 구좌읍 종달리 산 3-1, / ,종달마을 입구 동쪽 방향에 위치한 오름으로 올레21코스에 자리해 관광객이 많은 찾는 곳 / ,126.9024383,33.49931485,마을 관광자원,
동검은이오름,오름,제주특별자치도 제주시 구좌읍 종달리 산 70 , / ,"일반적인 오름들처럼 둥글고 매끄러운 모습이 아니라 능선이 끊어질 듯 이어지며, 멀리서 보면 여러 개의 오름인 듯 보이는 모양을 하고 있음 / ",126.8036695,33.44894445,마을 관광자원,
종달리해변,해수욕장+해변,제주특별자치도 제주시 구좌읍 종달리 565-72, / ,비교적 잘 알려지지 않아 조용한 해변 / ,126.909875,33.4963249,마을 관광자원,
메이즈랜드,테마파크,제주특별자치도 제주시 구좌읍 평대리 3322,연중무휴 / (평일+주말)09:00~18:00,"돌, 바람, 여자를 테마로 조성된 미로공원 / 11000원(성인개인)+9000원(성인단체+청소년개인)+8000원(어린이개인)+7000원(청소년단체)+6500원(어린이단체)+5000원(장애인개인)+3000원(장애인단체)",126.8008746,33.48825681,마을 관광자원,
평대리해변,해수욕장+해변,제주특별자치도 제주시 구좌읍 평대리 1994-20, / ,"월정리해변과 세화해변 사이에 자리하고 있으며, 동쪽바다의 정취를 호젓하게 즐길 수 있는 곳 / ",126.8408627,33.53352542,마을 관광자원,
비자림,테마파크,제주특별자치도 제주시 구좌읍 평대리 산 15,연중무휴 / (평일+주말)09:00~18:00,"천연기념물 제374호. 구좌읍 평대리에서 서남쪽으로 6km 되는 지점에 448,165㎡ 면적에 500∼800년생 비자나무 2,570그루가 밀집하여 이룬 군락 / 3000원(성인개인)+2500원(성인단체)+1500원(청소년개인+어린이개인)+1000원(청소년단체+어린이단체)",126.8099865,33.49040792,마을 관광자원,
문주란 자생지,관광지,제주특별자치도 제주시 구좌읍 하도리 산 85, / ,토끼섬에 있는 우리나라 유일의 문주란 자생지로 천연기념물 19호 / ,126.9026747,33.5237462,마을 관광자원,
하도리 철새도래지,공원,제주특별자치도 제주시 구좌읍 하도리 53-2, / ,월동하러 가는 철새들의 은신처 / ,126.8963179,33.51041988,마을 관광자원,
하도해변,해수욕장+해변,제주특별자치도 제주시 구좌읍 하도리 52-1, / ,수심이 얕아 어린아이들도 물놀이 하기 좋은 동쪽의 작은 해변 / ,126.8992316,33.51305497,마을 관광자원,
둔지봉,오름,제주특별자치도 제주시 구좌읍 한동리 산 40, / ,​‘둔지’는 제주 방언으로 ‘평지보다 조금 높은 곳’을 가리키는 말로 제주도를 한눈에 내려다볼 수 있음 / ,126.7954013,33.50274116,마을 관광자원,
고내리 다락쉼터,공원,제주특별자치도 제주시 애월읍 고내리 462,연중무휴 / (평일+주말+공휴일)00:00~24:00,고내리 다락쉼터는 제주시 애월읍 고내리 해안가에 있는 조그마한 공원이자 쉼터 / 무료,126.3408735,33.47052109,마을 관광자원,
고내리포구,항구,제주특별자치도 제주시 애월읍 고내리 1156-4,연중무휴 / (평일+주말+공휴일)00:00~24:00,제주올레 15코스의 시작점이기도 한 고내리포구의 앞바다에는 고깃배가 정박해 있어 소박한 제주 바다의 풍경을 만나볼 수 있으며 방파제에서는 낚시도 가능 / 무료,126.337548,33.46716299,마을 관광자원,
문서프,해수욕장+해변,제주특별자치도 제주시 애월읍 곽지리 1635,연중무휴 / (서핑강습)07:00~19:00+(서핑강습문의)10:00~20:00+(카페)09:00~20:00,아름다운 에메랄드 빛 바다에서 여유롭게 즐기는 서핑 / 50000원(2시간풀강습)+70000원(3시간풀강습)+60000원(자유서핑패키지)+30000원(3시간보드렌탈)+50000원(종일보드렌탈)+10000원(슈트렌탈),126.308397,33.45006976,마을 관광자원,
곽지해수욕장야영장,테마파크,제주특별자치도 제주시 애월읍 곽지리 1565,연중무휴 / ,바다 뷰와 야자수 그늘이 있는 캠핑장 / 10000원,126.3052494,33.45028883,마을 관광자원,
곽지해수욕장,해수욕장+해변,제주특별자치도 제주시 애월읍 곽지리 1565,동절기+간절기 / (평일+주말+공휴일)00:00~24:00,시원한 용천수를 뿜어내는 노천탕이 있는 곳 / 무료,126.3046716,33.45057861,마을 관광자원,
구엄리돌염전,자연,제주특별자치도 제주시 애월읍 구엄리 1254-1,연중무휴 / ,구엄리의 포구를 지나면 만나는 구엄리 돌염전은 넓게 드러누운 현무암 위에 소금을 생산하던 장소 / 무료,126.3764913,33.48342901,마을 관광자원,
갑자기 히어로즈 벽화길,관광지,제주특별자치도 제주시 애월읍 금성리 569,연중무휴 / (평일+주말+공휴일)00:00~24:00,제주도 마을 곳곳의 민원을 해결해주는 취지의 프로그램인 갑자기 히어로즈에서 진행한 마을 꾸미기 프로젝트의 일화로 제주시 애월읍 금성리 마을 해안도로에 조성된 벽화 거리 / 무료,126.3001742,33.44744735,마을 관광자원,
금성포구,항구,제주특별자치도 제주시 애월읍 금성리 573-1,연중무휴 / (평일+주말+공휴일)00:00~24:00,"애월읍 금성천 하구에 있는 오래된 포구로, 옛날 마한시대 이전부터 육지와 중국을 왕래하는 선박이 드나들었던 유래가 깊은 포구 / 무료",126.2982298,33.44683455,마을 관광자원,
납읍난대림 금산공원,공원,제주특별자치도 제주시 애월읍 납읍리 1457-1,연중무휴 / (평일+주말+공휴일)00:00~24:00,자연림의 원형을 보존하고 있는 천연기념물로서 울창한 상록수림이 특징 / 무료,126.3301651,33.43367442,마을 관광자원,
풋감마을 소길리 농어촌체험마을,관광지,제주특별자치도 제주시 애월읍 소길리 650-1, / (평일+주말)10:00~16:00,조용한 소길리에서 즐기는 풋감 천연염색체험 및 마을 탐방로 / 10000원,126.3798639,33.44005921,마을 관광자원,
물뫼힐링팜,테마파크,제주특별자치도 제주시 애월읍 수산리 357-6, / ,"자연 및 농업과 함께 상생하며 다양한 치유 프로그램을 운영하고 있는 치유농장 / 가격은 프로그램, 시간에 따라 다름",126.3964706,33.46454046,마을 관광자원,
중엄리새물,관광지,제주특별자치도 제주시 애월읍 신엄리 2719-3, / ,제주 올레길 16코스로 애월해안로에 위치하고 있다. 주상절리와 어우러진 해안 절경이 뛰어난 곳 / 무료,126.369322,33.47835963,마을 관광자원,
남두연대,관광지,제주특별자치도 제주시 애월읍 신엄리 2780-1, / ,아름다운 주변에 둘러쌓인 해안 절벽 위에 세워진 연대 / 무료,126.3584369,33.47908138,마을 관광자원,
신엄포구,항구,제주특별자치도 제주시 애월읍 신엄리 2841-13, / ,애월해안도로와 올레길 16코스 내에 위치한 포구 / 무료,126.352213,33.4735454,마을 관광자원,
애월연대,관광지,제주특별자치도 제주시 애월읍 애월리 1975, / ,횃불과 연기를 이용하여 정치·군사적으로 급한 소식을 전하던 통신수단 애월 연대 / 무료,126.313004,33.465656,마을 관광자원,
한담해변,해수욕장+해변,제주특별자치도 제주시 애월읍 애월리, / ,해안길을 따라 산책할 수 있는 제주의 숨은 비경 / 무료,126.310043,33.46223680748,마을 관광자원,
제주빅볼랜드,관광지,제주특별자치도 제주시 애월읍 어음리 산3,연중무휴 / (평일+주말+공휴일)09:30~18:30,커다란 공안에 들어가 언덕을 굴러 내려오는 레포츠 / 35000원(성인+빅조브)+30000원(조브),126.3768643,33.38900799,마을 관광자원,
아르떼뮤지엄 제주,전시관,제주특별자치도 제주시 애월읍 어음리 1503,연중무휴 / (평일+주말+공휴일)10:00~20:00,국내최대몰입형 미디어아트전시관 / 17000원(성인)+ 13000원(청소년)+10000원(어린이),126.345002,33.39669863,마을 관광자원,
큰바리메,오름,제주특별자치도 제주시 애월읍 어음리 산 21, / ,오름의 모양이 바리를 닮은 기생화산 / 무료,126.388043,33.37710974,마을 관광자원,
빌레못동굴,자연,제주특별자치도 제주시 애월읍 어음리 1391 , / ,"천연기념물 제342호이며 총 길이 11,749m의 세계에서 가장 긴 동굴이며 출입금지장소 / ",126.3504243,33.40441053,마을 관광자원,
제주안전체험관,관광지,제주특별자치도 제주시 애월읍 어음리 41-4,월요일 / (평일+주말)09:00~18:00,쉽게 재난을 경험하고 극복하는 방법을 배울 수 있도록 다양한 안전체험 프로그램을 갖추고 있음 / 무료,126.373405,33.39419821,마을 관광자원,
9.81파크,테마파크,제주특별자치도 제주시 애월읍 어음리 산131,연중무휴 / (평일+주말+공휴일)09:00~18:00,한라산과 비양도를 품은 푸른 바다를 마주하는 실외 공간과 감각적인 실내 공간을 모두 경험할 수 있는 테마파크 / 어트랙션마다 요금 상이,126.3667693,33.39029938,마을 관광자원,
렛츠런파크 제주,테마파크,제주특별자치도 제주시 애월읍 유수암리 1206,월요일+화요일 / (평일+주말)09:30~18:00,천연기념물 제347호인 ‘제주마’의 보호 및 육성을 위해 1990년 개장된 테마공원 / 2000원(성인+장애인)(금요일+토요일+일요일)+무료(수요일+목요일),126.3977283,33.40824654,마을 관광자원,
제주승마공원,관광지,제주특별자치도 제주시 애월읍 유수암리 1175,연중무휴 / (평일+주말+공휴일)09:00~18:00,국내최대 외승 트래킹 국내 최초 야외 야간 승마 및 전문 승마체험 및 회원제 승마장 / 66000원(곶자왈B)+44000원(곶자왈A),126.4062374,33.40581267,마을 관광자원,
큰노꼬메오름,오름,제주특별자치도 제주시 애월읍 유수암리 산138, / ,멋지고 시원한 전망과 바람에 일렁이는 억새를 만날 수 있는 곳 / 무료,126.4114027,33.38907202,마을 관광자원,
족은노꼬메오름,오름,제주특별자치도 제주시 애월읍 유수암리 산138, / ,큰노꼬메오름의 형제인 족은노꼬메오름 / 무료,126.4170735,33.39288551,마을 관광자원,
금덕무환자나무및팽나무군락,자연,제주특별자치도 제주시 애월읍 유수암리 1920, / ,제주특별자치도 시도기념물 제6호인 제주시 유수암리에 있는 무환자나무와 팽나무로 이루어진 군락 / 무료,126.4006584,33.44178657,마을 관광자원,
유수암마을,관광지,제주특별자치도 제주시 애월읍 유수암리 1892-1, / ,마을 주민들과 함께하는 농촌체험을 비롯한 전통음식문화체험 등 다양한 체험 가능함 / ,126.40278,33.44133474,마을 관광자원,
제주불빛정원,테마파크,제주특별자치도 제주시 애월읍 유수암리 1083,연중무휴 / (평일+주말+공휴일)17:00~24:00,자연과 휴식이 있는 매력적인 야경의 별이 빛나는 밤 아름다운 추억 테마파크 / 12000원(성인)+10000원(청소년)+8000원(어린이),126.4091868,33.42230345,마을 관광자원,
장전리 왕벚꽃축제길,기타,제주특별자치도 제주시 애월읍 장전리 1167-4, / ,봄 벚꽃소식과 함께 축제의 장이 열리는 곳 / 무료,126.3838247,33.45213548,마을 관광자원,
육시우영 ,관광지,제주특별자치도 제주시 애월읍 하가리 1386-1, / ,4.3사건 당시 하가리 주민들을 공개적으로 집단학살한 곳(현재 개인소유지) / ,126.3488858,33.45714782,마을 관광자원,
연화지,자연,제주특별자치도 제주시 애월읍 하가리 1569-2, / ,제주 서부의 숨은 비경 연화못 / 무료,126.3473594,33.45486103,마을 관광자원,
영모원,관광지,제주특별자치도 제주시 애월읍 하귀1리 1134-1, / ,4.3희생자의 신위를 한 곳에 모심으로써 화해와 상생의 표본이 된 곳 / 무료,126.4173323,33.47201754,마을 관광자원,
산호해수욕장,해수욕장+해변,제주특별자치도 제주시 우도면 연평리, / ,동양에서 유일하게 백사장이 홍조단괴(紅藻團塊)로 이루어진 해수욕장 / ,126.943225,33.502478,마을 관광자원,
하고수동해수욕장,해수욕장+해변,제주특별자치도 제주시 우도면 연평리, / ,밀가루를 밟는 듯한 부드러운 모래와 얕은 수심으로 가족단위로 수영을 즐기기에 좋음 / ,126.958237,33.514439,마을 관광자원,
검멀레해수욕장,해수욕장+해변,제주특별자치도 제주시 우도면 연평리, / ,총 길이 약 100m의 비교적 작은 규모의 해수욕장이지만 모래찜질을 즐기기에는 최적의 조건을 갖춘 곳 / ,126.967151,33.497336,마을 관광자원,
우도등대공원,공원,제주특별자치도 제주시 우도면 연평리 337, / (평일+주말)09:00~18:00,우도봉정상에 위치한 공원 / ,126.965,33.49294,마을 관광자원,
우도정원,테마파크,제주특별자치도 제주시 우도면 연평리 1964, / (평일+주말)10:00~17:00,제주 우도의 이국적인 정원 / 4000원(입장료),126.947017,33.501916,마을 관광자원,
우도봉(쇠머리오름),오름,제주특별자치도 제주시 우도면 연평리 산17, / ,"소가 머리를 들고 누워있는 형태를 띠고 있는데, 머리에 해당하는 부분을 쇠머리오름이라 함 / ",126.963586,33.492092,마을 관광자원,
훈데르트바서파크,테마파크,제주특별자치도 제주시 우도면 연평리 1706-1, / (평일+주말)09:30~18:00,색채마술사 훈데르트바서의 작품과 우도의 신비한 아름다움을 담은 테마파크 / 5000원(입장권+전이수전展)+6000원(소원체험팩)+8000원(훈데르트바서展)+10000원(패키지권)+15000원(자유이용권),126.9565077,33.49275715,마을 관광자원,
제주돌문화공원,공원,제주특별자치도 제주시 조천읍 교래리 산95,연중무휴 / (평일+주말)09:00~18:00,제주 특유의 돌문화를 집대성하여 조성한 공원 / 5000원(성인)+4000원(성인단체+청소년+군인)+무료(어린이),126.6590593,33.44820966,마을 관광자원,
바농오름,오름,제주특별자치도 제주시 조천읍 교래리 산 108,연중무휴 / ,비고 142m의 복합형 화구를 지닌 화산체 / 무료,126.6538018,33.45377549,마을 관광자원,
큰지그리오름,오름,제주특별자치도 제주시 조천읍 교래리 산 119,연중무휴 / ,산정부에 원형의 화구와 오름 서쪽 능선에 북동쪽으로 벌어진 말굽형 화구를 동시에 지닌 복합 화산체 / 무료,126.6452717,33.44378693,마을 관광자원,
물찻오름,오름,제주특별자치도 제주시 조천읍 교래리 산 137-1,연중무휴 / ,"물찻오름은 2008년부터 입산을 통제하고 있는데,1년에 사려니숲길 에코힐링체험 행사 때만 개방하는 오름 / 무료",126.6528711,33.39484878,마을 관광자원,
방애오름,오름,제주특별자치도 제주시 조천읍 교래리 산 45,연중무휴 / ,백록담과 한라산 정상 서벽이 위치한 방애오름은 분화구 주변에 오름인 알오름 2개가 형성된 복합형의 이중화산 / 무료,126.6845203,33.44392229,마을 관광자원,
돔배오름,오름,제주특별자치도 제주시 조천읍 교래리 산 64,연중무휴 / ,비고 36m. 원형 화구를 가진 화산체. 돔배는 제주 방언으로 도마를 말하는데 오름 모양새가 도마의 모양과 닮아 명칭 / 무료,126.6692411,33.42785414,마을 관광자원,
늡서리,오름,제주특별자치도 제주시 조천읍 교래리 산 95,연중무휴 / ,비고 59m. 말굽형(북동향)형태의 오름으로 분화구 외부 경사진 곳에 자연림이 무성하게 숲을 이루고 있음 / 무료,126.6629373,33.44177828,마을 관광자원,
까끄래기오름,오름,제주특별자치도 제주시 교래리 128,연중무휴 / ,50미터 정도의 완만한 경사로 비교적 낮은 오름에 속하는 까끄래기오름은 조릿대와 억새가 군락을 이루고 있어 아름다운 경치를 감상할 수 있음 / 무료,126.7031502,33.43164668,마을 관광자원,
말찻오름,오름,제주특별자치도 제주시 조천읍 교래리 산 137-1,연중무휴 / ,말찻오름은 물찻오름의 북동쪽 등성이와 맞닿아 이웃해 있는 오름 / 무료,126.6542458,33.40056659,마을 관광자원,
부소악,오름,제주특별자치도 제주시 조천읍 교래리 산2,연중무휴 / ,화구방향이 부대악과는 반대방향인 서남쪽으로 얕고 우묵하게 벌어진 말굽형 화구를 이루고 있는 모습이 부대악과는 대조적인 형태를 보여줌 / 무료,126.7177551,33.44219241,마을 관광자원,
족은지그리오름,오름,제주특별자치도 제주시 조천읍 교래리 산 119,연중무휴 / ,"족은지그리는 큰지그리와 등을 맞대고 초승달모양의 말굽형 분화구가 화구방향을 달리하고 있으며, 큰지그리와의 접촉부인 한구석에는 자그마한 동산이 탐스럽게 솟아있음 / 무료",126.6459915,33.45027603,마을 관광자원,
렛츠런팜 제주목장,오름,제주특별자치도 제주시 조천읍 교래리 산25-2,월요일+명절 / (평일+주말)10:00~17:00,"제주 렛츠런팜은 국내 경주마를 육성하고 관리하는 목장으로 200만㎡가 넘는 면적에 마사와 교배소, 동물병원, 조교용 주로 등을 갖춤 / 3000원(트렉터 마차 요금)",126.681477,33.41844406,마을 관광자원,
산굼부리,자연,제주특별자치도 제주시 조천읍 교래리 342-2,연중무휴 / (하절기)09:00~18:40+(동절기)09:00~17:40,"한라산의 기생화산 분화구인 함몰형 측화산으로, 자연의 경치가 빼어난 억새 군락지 중 한 곳 / 6000원(성인)+5000원(성인단체)+4000원(청소년+어린이+경로+국가유공자+장애인)+2500원(청소년단체+어린이단체)",126.6938307,33.43257522,마을 관광자원,
제주센트럴파크,테마파크,제주특별자치도 제주시 조천읍 교래리 산56-4,연중무휴 / (평일+주말)09:00~18:00,국내 최초 세계 미니어처 박물관으로 각 나라의 우수한 건축물을 전시함 / 7000원(성인)+5000원(청소년)+4000원(어린이),126.6744057,33.43345102,마을 관광자원,
제주에코랜드,테마파크,제주특별자치도 제주시 조천읍 교래리 385-1,연중무휴 / (평일+주말)09:00~18:00,30만평의 곶자왈 원시림을 기차로 체험하는 테마파크 / 14000원(성인)+12000원(청소년)+10000원(어린이),126.6702819,33.44833468,마을 관광자원,
매드벤처,테마파크,제주특별자치도 제주시 조천읍 교래리 786-29,연중무휴 / (평일+주말)09:00~19:00,"4차산업혁명 기술인 드론을 이용해 드론축구체험, 드론배우기, 드론 비행을 경험할 수 있는 관광 테마파크 / 15000원(실내드론체험30분)",126.657703,33.45398972,마을 관광자원,
교래자연휴양림,테마파크,제주특별자치도 제주시 조천읍 교래리 119,연중무휴 / (하절기)07:00~16:00+(동절기)07:00~15:00,전국에서 유일한 곶자왈 생태체험 휴양림 / 1000원(성인)+800원(성인단체)+600원(청소년+군인)+500원(청소년단체+군인단체),126.6649941,33.44035706,마을 관광자원,
새미오름,오름,제주특별자치도 제주시 조천읍 대흘리 산27-1,연중무휴 / ,산등성이는 남에서 북으로 곧게 뻗어 있고 서쪽으로 완만하고 평평한 등성마루를 이루면서 남서쪽으로 완만하게 벌어져 말굽형 화구를 이룸 / 무료,126.669422,33.47404839,마을 관광자원,
꾀꼬리오름,오름,제주특별자치도 제주시 조천읍 대흘리 산33,연중무휴 / ,"자연미를 느낄 수 있으며, 적당한 기슭을 통하여 오를 수 있고 경사는 다소 가파른 편에 속하는 오름 / 무료",126.6790997,33.46115159,마을 관광자원,
제원하늘농원,테마파크,제주특별자치도 제주시 조천읍 대흘리 852-1,연중무휴 / (평일+주말)10:00~18:00,"노지감귤과 만감류를 생산하는 농원으로, 귀농귀촌 및 다문화교육을 진행하고 있는 체험형 관광농원 / 프로그램별 요금 상이",126.6665037,33.50320283,마을 관광자원,
북촌포구,항구,제주특별자치도 제주시 조천읍 북촌리 588,연중무휴 / ,"다려도를 한눈에 볼 수 있고, 마을 충어제를 지내는 신당을 볼 수 있는 곳 / 무료",126.6941756,33.55019438,마을 관광자원,
부영농원,테마파크,제주특별자치도 제주시 조천읍 선흘리 3474,연중무휴 / ,"노지감귤, 단호박, 콜라비, 홍용과 등을 재배하며, 관광객에게 체험도 제공하는 관광농원 / ",126.6912733,33.51925122,마을 관광자원,
귤의정원바령,테마파크,제주특별자치도 제주시 조천읍 선흘리 1396,연중무휴 / ,"귤밭피크닉, 풋귤따기 체험 등이 가능한 관광농원 / ",126.7062006,33.50520118,마을 관광자원,
동백동산,자연,제주특별자치도 제주시 조천읍 선흘리 924,연중무휴 / (평일+주말)09:00~18:00,1981년 8월 26일 제주특별자치도 기념물 제10호로 지정된 선흘리 동쪽에 있는 넓은 면적의 상록활 엽수 천연림 / 무료,126.7160356,33.51644,마을 관광자원,
선녀와나무꾼,테마파크,제주특별자치도 제주시 조천읍 선흘리 1997,연중무휴 / (평일+주말)09:00~18:00,"어렸을 적 그리운 추억들을 떠올리며, 그 시절 추억을 또다시 느낄 수 있는 테마파크 / 13000원(성인)+11000원(군경+경로+장애인+유공자+청소년)+10000원(어린이+성인단체)+9000원(군경단체+경로단체+장애인단체+유공자단체)+8000원(청소년단체+어린이단체)",126.7037964,33.47878757,마을 관광자원,
캐릭파크,테마파크,제주특별자치도 제주시 조천읍 선흘리 266,연중무휴 / (평일+주말)09:00~18:00,"캐릭터 전시장으로 세계의 유명한 캐릭터를 관람하고, 첨단장비가 탑재된 기구를 통해 과학적 원리를 깨우치는 놀이를 체험할 수 있음 / 11000원(성인+어린이)+8000원(제주도민)+6000원(장애인+경로+유공자+군경)",126.7005404,33.47960359,마을 관광자원,
포레스트 사파리,테마파크,제주특별자치도 제주시 조천읍 선흘리 1817,연중무휴 / (평일+주말)10:00~17:30,"동물과 함께 사진을 찍을 수 있는 포토존&힐링존, 다양한 즐거움이 가득한 공룡라이더, 여러 동물들을 만져보고 직접 먹이주기, 동물페인팅까지 체험가능한 테마파크 / 10000원(성인)+11000원(어린이)",126.7095498,33.4630558,마을 관광자원,
김택화미술관,관광지,제주특별자치도 제주시 조천읍 신흥리 227-5,목요일 / (평일+주말)10:00~18:00,일평생 제주의 풍경을 고집스레 그렸던 화가 김택화의 예술세계와 삶의 여정을 담아낸 공간 / 4500원(성인)+3000원(청소년+군인)+1500원(어린이+어르신)+무료(7세이하+장애인+국가유공자),126.6531558,33.54375033,마을 관광자원,
신흥해수욕장,해수욕장+해변,제주특별자치도 제주시 조천읍 신흥리 731-3,연중무휴 / ,조천읍 신흥리에 위치한 물놀이가 가능한 해수욕장 / ,126.6487331,33.55177667,마을 관광자원,
새미동산,테마파크,제주특별자치도 제주시 조천읍 와흘리 2160-3,연중무휴 / (평일+주말)09:00~18:00,4계절 꽃테마 재배공원으로 감귤체험 및 알파카 목장체험을 할 수 있는 관광농원 / 프로그램별 요금 상이,126.623363,33.49513275,마을 관광자원,
제주레포츠랜드,테마파크,제주특별자치도 제주시 조천읍 와흘리 870,연중무휴 / (평일+주말)09:00~17:00,국제경기 유치 가능 카트 체험장 / 프로그램별 요금 상이,126.6387503,33.48206142,마을 관광자원,
서프라이즈테마파크,테마파크,제주특별자치도 제주시 조천읍 와흘리 2988,연중무휴 / (평일+주말)09:00~22:00,폐자원을 재활용하여 예술로 승화시킨 정크 아트 작품을 볼 수 있는 전시장 / 13000원(성인)+11000원(청소년)+10000원(어린이+경로+군인+장애인+국가유공자),126.6596222,33.46518842,마을 관광자원,
제주항일기념관,전시관,제주특별자치도 제주시 조천읍 조천리 1156,명절(추석+설날)+명절다음날 / (평일+주말)09:00~17:00,"제주인의 독립의지를 고스란히 담고 있으며, 제주인의 독립에 대한 발자취를  한자리에서 이해할 수 있도록 구성된 전시관 / 무료",126.6428996,33.54160469,마을 관광자원,
서우봉,오름,제주특별자치도 제주시 조천읍 함덕리 169-3,연중무휴 / ,"서우봉은 봄철에 노란 유채꽃이 만개하는 곳이며, 정상에서는 함덕해변을 한 눈에 조망할 수 있음 / 무료",126.677505,33.54575,마을 관광자원,
함덕해수욕장,해수욕장+해변,제주특별자치도 제주시 조천읍 함덕리 1004-10,연중무휴 / ,눈부신 모래밭과 맑은 에메랄드 빛의 바다. ‘한국의 몰디브’라는 별칭이 있음 / 무료,126.6692443,33.54306068,마을 관광자원,
모진이 몽돌해안,해수욕장+해변,제주특별자치도 제주시 추자면 신양리 56,연중무휴 / ,모래없이 몽돌(동글동글한 돌)로만 이루어진 해수욕장 / 무료,126.3343695,33.94571386,마을 관광자원,
섬생이,자연,제주특별자치도 제주시 추자면 신양리 산 87,연중무휴 / ,"풍경이 아름다운 무인도로, 낚시하기 좋은 이상적인 장소 / 무료",126.311403,33.93988321,마을 관광자원,
돈대산,자연,제주특별자치도 제주시 추자면 예초리 산 67-1,연중무휴 / ,"신양항과 해안마을 전경을 한눈에 볼 수 있는 산으로, 산 중턱에 총 길이 2km의 산책로가 조성되어 있음 / 무료",126.3229808,33.94821882,마을 관광자원,
