,식당명,닉네임,리뷰,방문일자
519,천돈가 중문본점,잉오74,"완전 맛있어요~~~~!!! 양념도 다양하고 고기 질도 좋고 양도 넉넉하고 무엇보다 고기가 맛있습니다😆 먹기 좋게 직접 구워주셔서 정말 
편하게 먹었어요! 친절하시기도 하구요~ 고기도 고기인데 김치찌개!! 정말 너무 맛있습니다... 꼭 김치찌개도 시켜드세요 두번드세요 공
기밥에 야무지게 드세요!! 고기랑 먹어도 아주 잘 어울립니다!! 둘이서 고기 아주 탈탈탈 잘 털어먹고갑니다! 또 제주도 놀러오면 ...",2.14.수
520,천돈가 중문본점,홧튕,비오는 날 찾은 맛집~고기찍어먹는 소스가 다양하고  고기부드럽고 정말 맛있었어요 ~~사장님 직원분들  모두 친절하시고전문가의 손길로 편안한분위기에서  구워주시는것도  넘 좋았습니다~입맛까다로운 아들도 맛있다고 하네요 ~여행중 찾은맛집♡,2.14.수
521,천돈가 중문본점,채운봄,제가 여태 먹었던 근고기는 근고기가 아니였읍니다.. 진심 앞으로는 흑돼지는 무조건 천돈가로 갑니다.. 고기 질도 미쳤고 반찬 하나하나 정말 사장님께서 엄청 열심히 연구하시고 만드신 거라는 걸 알 수 있었어요.. 너무 맛있게 잘 먹었습니다,23.11.4.토
522,천돈가 중문본점,도리도리10,"고기 맛있는것도 맛있는건데 고기집에서 오마카세
서비스를 느꼈습니다 여기보다 친절한 고기집 본적이 앖네요 덕분에 편하고 맛있게 기분좋은 저녁시간 보냈어요 감사합니다 강력추천",3.4.월
523,천돈가 중문본점,쏭쏭5310,"너무나 친절하신 사장님, 직원분들께서 고기도 직접 구워주시니 너무 편하고 좋았어요 :) 육즙가득 부드럽고 고소한 흑돼지 꽃목살을 6가지 소스에 골고루 찍어 먹으니 다양한 맛을 느낄 수 있어서 좋았어요!! 특히나 천돈가 특제소스인 바질소스와 돈젓에 찍어먹는 고기는 말모말모 😆 큼직큼직한 돼지고기가 가득 들어있는 김치찌개도 추천드리니 꼭 드셔보세요!!",23.11.30.목
524,천돈가 중문본점,dbs****,여기 진짜 사장님들 너무 친절하시고 고기도 맛있는굽기로 정말 잘 구워주십니다 ㅎㅎ 김치찌개는 양도 많고 맛이 깊어요 제주도에서 흑돼지를 맛보고싶으신 분들께 강추드립니다 !! 👍,2.4.일
525,천돈가 중문본점,루나7752,"아기랑 같이 갔는데 다 구워주셔서 넘 편했구, 친절하셔서 더 좋았어요! 꽃목살 쫄깃하고 진짜 맛있구 오겹살 추가했는데 오겹살도 맛잇었어요 ㅠㅠㅠㅠ 제주 또갈집 ...! ",3.8.금
526,천돈가 중문본점,퉤퉤42,"한창 저녁 시간에 갔을 때 20분 정도 기다렸어요  고기도 너무 맛있게 구워주시고 먹는 방법도 하나하나 알려주셔서 만족스러웠습니다!!
꽃목살이 너무 맛있고 김치찌개도 맛있어요 여러 소스들이 나오는데 한 번씩 꼭 먹어보시길 추천드려요 저희는 뒤늦게 알고 다 못 먹고
 나왔는데 다음에 오면 고기 넉넉하게 시켜서 먹을거에요😊😊",2.2.금
527,천돈가 중문본점,달고미46,제주와서 흑돼지 너무 먹고 싶었는뎅 ㅋ 직접 다 구워주시고 무엇보다 소스가 다양해서 골라 찍어먹는 재미가 있었어용! 천돈가만의 소스가 있어 느끼 하지 않게 고기와 김치찌개 달걀찜까지 맛있게 먹었어요! 주차장 완전 대궐 같아서 단체 모임하기 좋아용 사장님 세상 친절행💛,23.10.27.금
528,천돈가 중문본점,apple9831,"저녁7시반 예약해서 갔고, 대기2팀 있다고 미리 연락주셔서 기다리지 않고 바로 입장했습니다:)
유명한 고깃집 맞고, 사장님께서 직접 고기도 구워주십니다^^ 어떻게 먹으면 맛있는지도 설명해주셔요~~
고기 짱 맛있슴—!! 강추강추🤭❤️❤️",23.12.2.토
529,천돈가 중문본점,jom****,"직원분이 직접 구워주세요~ 고기 위에 고명처럼 뭘 곁들여 먹는게 맛있는지 알려주심 고기 두께가 두꺼워서 질기면 어쩌나 했는데 1도 
안 질기고 맛있었어요. 꽃목살이랑 떡심 먹었는데 먹어보고 꽃목살 맛있어서 또 추가해서 먹었어요👍👍👍",23.11.11.토
530,천돈가 중문본점,li****,서귀포 흑돼지 맛집으로 추천해요!! 반찬들 하나도 빠짐없이 맛있고 사장님도 친절하세요 가족들 모두 만족하고 먹고 갑니다ㅎㅎ,3.25.월
531,천돈가 중문본점,항34,고기 너무맛있고 사장님 친절해서 제주도올때마다 오는 맛집이에요 주차도 편하고 중문에서 가까워요 강력 추천합니다~,4.8.월
532,천돈가 중문본점,더코빵,천돈가 중문저!! 너무너무 추천합니다 사장님께서 일일이 고기를 다 맛있게 구워주시고 무엇보다 소스찍어먹는법을 다 알려주셔서 너무 맛있게 먹었답니다! 바질소스 강추!!,1.31.수
533,천돈가 중문본점,hh****,제주 여행 중 찾은 흑돼지 맛집! 돼지 잡내도 안 나고 직접 꾸워주셔서 촉촉하고 야들야들한 흑돼지 한 끼 잘 먹고 갑니다. 세자매 여행하며 입맛에 맞는 식당 찾기 어려웠는데 이렇게 맛있는 식당 알게 되어서 너무 좋으네요~ 다음 여행에도 다시 방문하고 싶어요 ㅎㅎ 추천합니다,1.31.수
534,천돈가 중문본점,qkslqksl,"흑돼지 꽃목살 너무맛있어요 직원분이 직접구워주시고 친절하세요 반찬리필바가 있어서 좋았어요 매장도 넓고 아늑해요 고구마, 구운귤도 맛볼수 있어서 좋았어요",23.12.9.토
535,천돈가 중문본점,qkr****,꽃목살 너무 맛있어요ㅠㅠ같이 곁들여 먹을 수 있는 소스가 너무 매력있고 맛있어요 고기도 다 구워주시고 친절해요 마지막에 귤 구워 먹으라고 주시는데 입가심으로 최고입니다!! 인생흑돼지,23.12.15.금
536,천돈가 중문본점,토디46,"직접구워주시고 육즙 좔좔 맛나요!!
친구추천으로 왔는데 넘맛나네요 번창하세요!",3.20.수
537,천돈가 중문본점,aurora4731,고기 직접 구워주셔서 편하게 잘먹었습니당 계란찜 맛있어요 ,4.16.화
538,천돈가 중문본점,se086,"제주 많은 고기집 중 요즘 뜨고 있다고 해서 방문했는데 뜨는 이유를 알것같아요! 고기의 질도 좋고 고기집은 질도 좋아야하지만 고기구
어주시는 분의 스킬이 중요한거 아시죠?! 직원분 고기굽는 스킬 덕에 너어무 맛있게 먹었습니다!! 첫 한점을 소금에 찍어먹는 순간 아 여
기 다음에 웨이팅 있음 어쩌지 라는 생각이ㅠㅠ 바질마늘 소스는 대체 누가 개발하신거에요!!! 소스 레시피 공유좀여 제발ㅠㅠ 제...",23.11.5.일
539,천돈가 중문본점,송주희78,고기 맛있고 사장님이 직접 구워주세요!,2.26.월
540,천돈가 중문본점,ale****,"정신없이 먹다보니 이런 사진 밖에 없어요. 사장님께서 직접 처음부터 끝까지
맛있게 구워주십니다. 맛있어요!",3.14.목
541,천돈가 중문본점,시장표반반통닭,오겹살 먹었는데 고기 질이 좋고 밑반찬이 다 맛있었습니다. 김치찌개도 얼큰하니 딱좋았습니다. 서비스로 고구마+귤을 구워으라고 주셨는데 처음엔 귤을 구워...?? 했지만 먹어보고 만족했습니다. 또 여행오면 재방문할 예정입니다!,23.12.25.월
542,천돈가 중문본점,정하은0,맛있게 먹었습니다!! 사장님들도 엄청 친절하시고ㅠㅠㅠ 고기 구워주셔서 덕분에 편하게 잘 먹었습니당🤍 담에 또 올게용,3.26.화
543,천돈가 중문본점,몽추이떵꾸,"제주도 여행중에 블로그 보고 방문했는데 사장님이 고기도 잘 구워주시고 친절도 하셔서 기분좋게 먹고 나왔어요 ! 물론 맛도 보장 🤍
🐷🤍 마지막에 귤 구워먹는거 보고 저도 집에서 이렇게 해먹으려구요 넘나 신기방기했네요 🍊🍊 어린 아이와 가도 아기의자가 넉넉
히 세네개정도 있어서 괜찮을거 같아요 !!  다음 여행때도 또 방문 할게요  번창하세요 ☁️😉🍊✨☁️",23.12.12.화
544,천돈가 중문본점,최주아85,"꽃목살.살살 녹아요
너무 부드럽고 가성비 맛집입니다",3.3.일
545,천돈가 중문본점,블라디78,"꽃목살이라는 특별한 메뉴가 있는데 너무 부드러웠습니다!
2023년에 돼지구기구이 부문 상도 타셨더라고요 ㅎㅎ
직원분들도 너무 친절하셔서 먹는 내내 너무 편하게 먹고 갑니다 :)",3.2.토
546,천돈가 중문본점,토라짱20,"가족여행으로 온 고깃집인데
꽃목살이 부드럽고 너무 맛있었어요!
부드러운 고기 좋아하시는 분들에게 무조건 추천입니당",3.2.토
547,천돈가 중문본점,배배배7757,"2주 전에 친구랑 여행 왔을 때 먹어보고 너무너무 맛있어서 가족들 데리고 제주도 또 왔어요ㅎㅎ 감사하게도 사장님께서 알아봐주시고 
고구마랑 귤까지 주셔서 후식도 맛있게 먹었습니다!!! 나중에 제주도 놀러오면 꼭 다시 갈게요 감사합니다:>♡ 잘생긴 사장님 최고최고!
!!",23.12.6.수
548,천돈가 중문본점,mars6,"매장이 전체적으로 깔끔하고 쾌적한 고깃집 이었어요 직원분들 너무 친절~~ 제주에서는 친절한 식당 찾기 어려운거 아시죠?? 고기도 
직접 구워주셔서 마음편히 먹을 수 있어서 별 5개~~ 애기의자도 구비 되 있어서 유아있는 가족 손님들도 불편하지 않을 것 같네요  주차
공간 또한 매장 뒷편에 넓게 있어서 주차까지 편하네요~ 모처럼 멀리 나들이 갔는데 만족스러운  한 끼 식사 장소 였네요~~ ",23.11.29.수
549,한스시,wow그대,"모듬 포장해서 호텔서 먹었는데 구성 넘 좋고 신선했어요 횟감이 두꺼워서 먹는 식감도 좋아구요 소고기초밥 다른데서 먹음 말라비틀
어지고 질긴데 부드럽고 두꺼워서 기분좋게 먹었네요 추천합니다~",23.11.10.금
550,한스시,Sopu,회 포장겸 들렸는데 친절하세요^^ 다음 여행때도 들리려구요,1.11.목
551,한스시,don****,제주 여행하다 하나로 마트를 들릴려고 잠시 주차를 했는데 딱 눈에 띄어서 갑자기 포장을 하게 되었는데 맛있게 먹었네요.,3.13.수
552,한스시,Millie94,먹고 가려고 했는데 포장만 가능하다고 하셔서 도미랑 연어 6피스씩 포장했습니다. 생선들이 두툼하니 맛있었어요 ☺️ 가성비 좋은 것 같습니다,23.7.15.토
553,한스시,사자머리다,맛있고 친절한 중문 대표 횟집입니다. 집안에 술을 다 꺼내게 만드는 맛입니다..^^ 포장을 하신다면 고민할 필요가 없어요.ㅎㅎㅎ  2014년도부터 잘이용하고 있습니다. 항상 감사드려요! ,23.5.7.일
554,한스시,사자머리다,연어 퀄리티가 아주 좋아요. 왠만한 호텔 생연어보다 훨씬  맛있습니다!! 늘 감사해요!! 화이팅!!,23.7.5.수
555,한스시,쿵짝쿵짝62,,23.4.30.일
556,한스시,다이지,지나가는 길에 들러 포장해서 먹었는데 서울보단 가격이 비싸지만 맛있었어요 근데 먹다보니 핏물?같은게 있어서 당황스러웠어요,22.10.30.일
557,한스시,영떠니,,23.1.17.화
558,한스시,yum****,회도 많고 맛이 좋아요,22.11.5.토
559,한스시,최서영4,간장새우 맛있어요 추가 주문 ㅎㅎ,23.2.16.목
560,한스시,최서영4,회 신선하고 맛있어요,23.2.18.토
561,한스시,이치고이치에17,"아이가 잘 먹어요~ 
육지보단 비싸지만 중문에선 가성비 갑",22.7.12.화
562,한스시,꼬야뿅,좋아요,22.8.31.수
563,한스시,ESFJ10,회 상태가 싱싱하고 사장님이 친절하세요^^❤️,22.3.11.금
564,한스시,영떠니,포장했는데 깔끔하고 맛있어요.,22.2.16.수
565,한스시,jloved9979,비싸게 느껴지지만 신선해요,22.4.14.목
566,한스시,랭미,맛있게 잘먹었어요 !!!,22.2.24.목
567,한스시,dmsthd12,음식이 맛있어요,22.3.24.목
568,한스시,young831,친절하고 맛있어요 깔끔한 포장 모듬회,22.6.14.화
569,한스시,Geewonii,배달해먹었는데 초밥 신선하고 맛있어요!,22.1.13.목
570,한스시,난나나난45,도미 초밥 포장했는데 맛있었어요,22.1.15.토
571,한스시,min****,중문에서 야식으로 회 한 접시 먹고 싶으면 여기다.,21.11.17.수
572,한스시,마음에는,넉넉해요,22.2.15.화
573,한스시,푸른밤1057,먹느라 정신이 없어서 사진을 못찍었네요.ㅜㅜ 맛있게 잘 먹었어요. 초밥도 맛있고 회 신선해요.,21.11.7.일
574,한스시,마음에는,좋아요,22.2.1.화
575,한스시,min****,good,21.12.24.금
576,한스시,마스77,맛있어요 ,22.7.21.목
577,한스시,아침햇살143,너무 비싸요,22.2.11.금
578,한스시,그레잉,점심특선 가성비 좋아요 잘먹고 갑니다!,21.5.22.토
579,한스시,반얀트리33,"가성비 최고 도민밋집이에요.
초밥, 회, 돈가스 다 맛있고 최고는 참치입니다.
이집 참치 꼭 드셔보세요.",21.5.22.토
580,한스시,imp,근처 도민분에게 추천받아서 갔는데 깔끔하고 좋아요 주차가 쪼끔 어렵긴한데 눈치보고 잘댔습니다ㅋㅋ,21.7.8.목
581,한스시,반얀트리33,"참치, 회, 초밥 다 맛있어요.",21.7.2.금
582,한스시,Keroro,스시 맛나요!,21.9.24.금
583,한스시,yim****,좋아요,21.12.1.수
584,한스시,치유유,굿,21.7.27.화
585,한스시,balilove,저렴하니 맛 있어요,21.3.19.금
586,한스시,어영22,굿,21.6.9.수
587,한스시,dnw****,초밥 진짜좋아하는데 여기와서 인생초밥집을 만난거같네요 광어가 쫄깃쫄깃이 아니라 쫀득쫀득한게 너무맛있고 식감도좋아요 연어도 맛있어요 초밥이 두툼한데도 부드럽게 녹아요,20.12.18.금
588,한스시,주주쥬40,"믿고먹는 동네맛집!
대방어 최고에요 저렴하니 깨끗하고
신선하니.아주 좋아요^^",20.12.29.화
589,한스시,와9317,"친절하고 맛있어요! 
다만 만들어주시는 분, 안내해주시는 분 모두 마스크 쓰고 일해주시면 더 더 좋을 것 같아요 !!",20.10.31.토
590,한스시,핫도그8052,회는 괜찮으나 초밥은 그냥.. 사진이 그럴싸하게 나와 그렇지 먼거리서 딱히 찾아가서 먹을맛은 아닙니다.,20.10.9.금
591,한스시,바람직하게,"추천받아  왔는데 정말 ㅋㅋㅋ추천받응만했어요
사장님도너무친절하시고 번창하세요",20.9.10.목
592,한스시,호이호이222,배달 시킨건데도 싱싱하고 맛있었어요👍🏼,20.8.22.토
593,한스시,jun****,굿,21.4.4.일
594,한스시,SUMMER70,"양파양념도 너무 맛있고 최고 ! 
고등어회 처음인데 ㅠㅠㅠ 내일 또 사러 갈겁니다",20.8.27.목
595,한스시,마잉37,광어 맛있어요 ,20.7.8.수
596,한스시,키키7352,잘먹었습니다,20.6.4.목
597,한스시,하루살이494,"매장안에 날파리 날아 다니는데 날파리 불편하면 포장해가라는 곳임. 진짜 위생 별로임
테이블은 얼마나 안딱았는지 끈적끈적 거리고 가격대비 양도 적음",20.5.4.월
598,한스시,Rain Drop 9,가격대비 양도 많고 맛있어요,20.8.12.수
599,한스시,이게129,제주도민들의 맛집이에요.  초밥 테이크아웃 전문점이라 생각하면 될 듯요. ,19.10.24.목
600,산지해장국 중문점,가감없는리뷰,"내장탕 추천드려요.  빨간거 속안파서 잘 안먹는데 크게 부담되지 않는 수준의 맛입니다. 인위적으로 진한 맛 낸게 아니라 딱 적정하게 
좋습니다. 고기는 신선하고 고소합니다.  주차는 좀 애매한데 주변에 적당히 세울 곳 좀 있어요. 재방문 의사있구요 제 평점은 별 네개입
니다. ☆☆☆☆",4.10.수
601,산지해장국 중문점,NAMIi,"제주에서 은희네,쉬멍,대춘,우진,미스제주 해장국 먹어본 사람이에요. 식당마다 다른 스타일이니까 각자의 입맛이 있는 거구요 제 입에
는 은희네,쉬멍이 더 찐하고 맛있었어요! 그리고 산지해장국은 중문 네일숍 사장님 추천으로 왔는데.. 저 왜 여길 이제야 와 본걸까요? 
진짜 너무너무너무 맛있었어요. 일단 여사장님 들어갈 때 맞이 인사 너무 친절하셨구 식당 청결하구요 기본찬 너무 좋았어요. 내...",3.21.목
602,산지해장국 중문점,lms****,"중문에 들리신다면 산지해장국 중문점 꼭 추천드려요 10개월 아기랑 함께 일부러 사람많은 시간 피해서 갔는데 여자서빙하시는분이 너
무너무 잘해주셨어요. 아기가자서 유모차끌고 들어갔는데 자리도 잘 안내해주시고 이유식 데우는것도 여쭤봤는데 마침 전자렌지가 고
장났다고 중탕하는건 어떠냐고 도와주시고 너뮤 감사했어요 한창 점심시간에 자리 오래 머물면 피해갈까봐 아가를 낳고보니... ...",3.8.금
603,산지해장국 중문점,윌리6727,아침에 한그릇하기 너무 좋아요~ 맛있는 해장국!! ,4.7.일
604,산지해장국 중문점,bonny5678,"일단.. 메뉴판에 딱 두개!  정말 전문성이 보여요!  들어가자마자 매장이 너무너무 깔끔 깨끗하구요  재료 잡내 하나도 안나고 너무 맛있
었어요  내장탕 정말 고소하고  진국!  해장국은 콩나물 들어서 너무 시원하고 좋았어요 양이 푸짐하구요. 곁들이는 소스가 또 너무 좋았
어요~  친절하시고!  너어어무 감사했습니다 ❤️",1.2.화
605,산지해장국 중문점,쌔미밍,해장국 넘넘 맛있어용〰️💕 국물이 엄청 시원해서 맛있고 온 몸이 뜨끈해지는게 건강한 기분이 들었어요👍🏻 잘 먹고 갑니다💖,1.23.화
606,산지해장국 중문점,여우부인JIN,"진짜 맛있는 해장국집이었습니다.
남편은 다음날 한번 더 먹으러 가겠다고 할 정도였어요~^^
제주 여행에서 맛있게 아침식사 할 수 있어서 좋았습니다~~",1.17.수
607,산지해장국 중문점,전 화 위 복,"초간단리뷰! 소내장탕 양이 어마어마하게 많다. 반찬이 다양하게 제공된다. 내장의 양이 생각보다 많아서 한 그릇 클리어하기 쉽지 않다
. 생각보다 국물의 맛이 그리 진하지 않았다. 약간 싱거운? 기대를 크게해서 그런지 아쉬웠다. 다음에는 소고기해장국에 선지를 빼고 먹
어봐야겠다. 웨이팅이 꽤 있을 수 있다. 직원분이 친절하다.",23.11.28.화
608,산지해장국 중문점,까만우산,"제주도 혼자여행중인데 중문에서 숙박하고
아침때리러옴
평일이라 한가했고 맛있었습니다.",3.6.수
609,산지해장국 중문점,고바진 제주,"산지해장국 중문점은  물론 본점과는 맛이 다릅니다. 좀 더 깔끔하고 맑은 느낌이에요.  그리고 더 푸짐합니다.  아직도 포장 주문하는 해
장국으로 이곳을 능가하는 곳은 찾지 못했습니다.",3.21.목
610,산지해장국 중문점,형법총칙,내장탕 넘 맛있어요 양평해장국 느낌인데 최고입니다ㅠㅠㅠㅠ 왜 비행기 타고 해장국 먹으러 가는지 알겠네요. 2박3일 여행 중 젤 맛있어요ㅜㅜ 고기양도 혜자!!!,2.13.화
611,산지해장국 중문점,목단이26,제주도 여행중 갔는데 양도 많고 맛있었어요. 비싼 다른 음식보다 저는 더 좋았어요. 제주도 갈때 재방문할 생각입니다.,3.24.일
612,산지해장국 중문점,레베카90,"처음에 사진을 못찍었어요 ㅠ 내장탕 해장국 하나씩 먹었는데  국물이 아주 깔끔합니다 재료가 좋다는 걸 알수 있어요 먹어보면 ..  아침
에 국물있는 식사하려고 아이랑  가까워서 방문했는데 잘먹고 가요  김치도 개운한 맛 그리고 친절하세요 식당이 참 깔끔  맘에 드는곳 ^
^",1.5.금
613,산지해장국 중문점,Hiosan1,"몸상태가 안좋았는데 약도챙겨주시고 감사합니다🙇
",2.27.화
614,산지해장국 중문점,수염소년,"국물보다 내장이 많기로 유명한 산지해장국. 요즘 제주 곳곳에 지점이 늘어 어디서든 일정한 맛을 즐길 수 있어 좋아요. 매콤 칼칼한 국
물에 계란 하나 풀어 고추 마늘 다 때려 박고 소양과 고기는 양념장 만들어 찍어 먹음 으따 이모 여기 한라산 한병 주셔유 😭 중문점은 
아침 일찍부터 오후까지만 영업하니 참고하세요. 오랜만에 맛나게 먹고 왔어요 🥰",23.9.6.수
615,산지해장국 중문점,gpd****,"ㅎㅎ메뉴가 두개입니다 근데 둘다 너무 맛있어요 특히 내장탕은 음 먹으면 먹을수록 국물이 일품입니다.
깍두기 동치미도 신기하게 너무 맛있구요
다만 술드시는 아저씨들이 되게많아욬ㅋㅋㅋ",23.11.22.수
616,산지해장국 중문점,fee****,"중문 오시면 여기서 아침식사하세요. 은희네보다 깔끔하고 부드러워요. 국물에 냄새 하나도 안나고 정말 개운하고 내장은 부드러워서 
식감이 정말 좋아요. 셀프바에 계란이랑 양념 제조해서 먹을수 있구요. 아침일찍 오시는 분들도 정말 많네요~~",23.9.9.토
617,산지해장국 중문점,윌리6727,중문에 딸 이름 해장국 두곳 보다 국물은 훨신 좋네요~ 잘 먹었습니다.,23.12.20.수
618,산지해장국 중문점,hw****,"곱창이 들어있는 내장탕은 처음 먹어보는데 고소하고 맛있어요
또 달걀도 있어서 넣어 먹었는데 맛있게 잘먹었어요 양이 많아서 좀 남기긴했어요",23.11.11.토
619,산지해장국 중문점,Hi J,"서귀포점이랑 중문 둘다 자주갑니다.  맛이야 항상 맛나서 리뷰안남기는데, 오늘 홀보시는 나이때 학생같아 보이는 남자 직원분 너무 친
절하고 따뜻하셔서 리뷰남깁니다.  또가고싶게 만드네요 홀직원분 덕분에  기분좋게 잘먹고갑니다. 감사해요 ",23.12.12.화
620,산지해장국 중문점,쯔키86,저 갔을 때 혼밥하는 사람들 많았어요 그리고 진짜 맛있네요. 내장탕이 유명하다지만 선지를 좋아해서 해장국먹었는데 정말 맛있습니다. 계란은 안 넣어서 먹어봤지만 다음엔 넣어서 먹어보고 싶어요. ,23.11.28.화
621,산지해장국 중문점,개둘e,맛있어요,4.9.화
622,산지해장국 중문점,제주도 독거노인,ㅎㅎ,3.21.목
623,산지해장국 중문점,앙앙1522,"너무 맛있어요 
내장탕이 냄새도 안나고 부들부들하니 양도 많아요 
다음에 제주도 여행가면 또 갈거에요 ",23.12.1.금
624,산지해장국 중문점,brv****,"현지분 소개로 방문하게 됐는데
엄마가 넘 마싯게 드신 집입니다
다음번에도 방문하고 싶어요",23.12.23.토
625,산지해장국 중문점,중문 육떡식당,"제주시 탑동에서 우연히 산지해장국을 맛본뒤로~ 그어디에도 산지해장국 내장탕의 내장양을 따라오는곳은 없었어요~~ 서귀포 신시가
지에 생겨서 이마트 갈때마다 먹고오곤 했는데~ 이제 우리마을 중문에도 생기 다니~너무 신나네요^^ 오전에 가니 한가해서 남편이랑 
조용히 한그릇 뚝딱 하고왔습니다~  골목안에 있는데 매장 바로앞에 차댈수있어 좋아용❤️",23.7.6.목
626,산지해장국 중문점,발이 시린 펭귄,내장탕 맛집임. 내장만 먹으면 좀 물릴 수 있으니 소스 잘 만들어서 먹으면 더 맛있음.,23.12.10.일
627,산지해장국 중문점,chorogi,내용물이 푸짐하고 맛도 있다. 한번가면 단골각,23.11.21.화
628,산지해장국 중문점,구린글스,모 해장국집은 지점마다 맛차이가 있는데 여긴 어느 지점을 가던지 맛있네요. 제주도 올때마다 들르는 해장국집입니다. ,23.11.29.수
629,산지해장국 중문점,찌비26,양도 많고 냄새도 안나고 가성비 쵝오 .  정말 친절해요,23.12.13.수
630,산지해장국 중문점,h h h hj,"소고기해장국 만원, 내장탕 만천원 날계란 있어서 취향따라 넣어드시면 돼요! 소고기해장국에 고기, 선지 다 푸짐하게 들어있어요! 맛있
게 완뚝했습니다! ",23.7.17.월
631,산지해장국 중문점,한가지동,와~~~~여기 찐맛집이네요ㅋ너무 맛있게 잘 먹었습니다,23.8.22.화
632,산지해장국 중문점,제주도 독거노인,ㅎㅎ,2.11.일
633,산지해장국 중문점,euny,"제주 또또또또간집이요 내장탕 기절입ㄴ ㅣㄷ ㅓㅠㅠㅠㅠㅠ 양도 많고 맛도 최고에요 매일 가라해도 갈수잇어요 ㅠ 완뚝은기본 두그릇
도 먹을수잇슴다 ㅠ ",23.7.14.금
634,산지해장국 중문점,suho9485,"국물이 깔끔하고 시원하네요.
선지랑 고기도 듬뿍 들어있어서 맛있어요.",23.9.27.수
635,산지해장국 중문점,매너남90,,2.13.화
636,산지해장국 중문점,우유한잔14,"해장국먹으러 비행기타고 제주도 오기 ! 꼭 들러야 하는 맛집 ! 굳👍🏻 맛있게 먹고 갑니다. 영업시간 지켜서 가셔야 합니다 3시까지만 먹
을수 있어요 🥰",23.10.25.수
637,산지해장국 중문점,빈이마맘,짱짱! 양도많고 사장님도 친절하고 맛있게먹고왔습니다,23.11.14.화
638,산지해장국 중문점,zz****,양도 진짜 많고 특히 엄청맛있었어요!!,23.11.14.화
639,산지해장국 중문점,zzzz961,"일단 해장국이 너무 맛있고, 매장 넓고 적당히 친절하셔서 부담없이 혼밥하기 좋아요.",23.8.23.수
640,산지해장국 중문점,술꾼도시참새,내장탕 잘 못먹는데 여긴 왜이렇게 부드럽고 잡내가 없는거죠? 푸딩같아요. 진짜 내장탕 원탑 끝장이네요. 야채도 넉넉히 들어있고 먹어도 먹어도 질리지 않아요. 식어도 내장냄새가 안나요. 좋은 재료 쓰시는 게 느껴집니다. ,23.4.30.일
641,산지해장국 중문점,nam****,"해장국보다 내장탕이 더 맛있음
날계란도 구비되어있음",23.8.3.목
642,산지해장국 중문점,츄츄츄원츄,"제주도가면 해장국은 꼭 먹어요 선지해장국과 내장탕 중에 고민하다가 내장탕 먹었는데 내장이 얼마나 많은지 먹다 지쳤..... 웨이팅 없
이 몇 번 먹었는데 이 날은 웨이팅 20분 정도 했어요. 맛있으니 모두 드셔보세요",23.6.18.일
643,산지해장국 중문점,박믹히,"여긴 무조건 내장탕을 시켜야 한다고 들었습니다👍
건더기가 아주 가득 들어있어 밥 없이 건더기만으로도 배가 불러요;; 청양고추랑 마늘 팍팍 넣어 드세요!",23.6.5.월
644,산지해장국 중문점,쿠크다스하임,양이 진짜 많아서 절대 밥 다 못먹음,23.9.17.일
645,산지해장국 중문점,어진이77,"갈때마다 내장탕을 먹는데  건더기가 참 많아서 굿!  먹다보면 국물이 부족할수도 리필해 달라고하면 리필도 해주신다는  당면이 적어서
 아쉽지만  건더기가 워낙 많으니 어쩔 수 없지  참고로 오전7시에 오픈해서  오후3시까지만 영업  우리동네 해장국맛집~",23.4.4.화
646,산지해장국 중문점,안또리,또가서 먹고싶어요   선지 1 내장탕 1 먹었는데 .  어딜가도 그런 하얀밥집이없엇는데   일단 밥부터도 너뮤 맛있고 내장탕추천용,23.8.8.화
647,산지해장국 중문점,panicsio,"소내장탕 먹었는데 내장이 뚝배기 한가득했어요~ 푸짐하고 내장도 신선하고 넘 맛있어서 한그릇 뚝딱했어요~^^
잘먹었습니다~^^",23.8.5.토
648,산지해장국 중문점,싸왓디,"양이 너무너무 많아요!!!👍👍
너무맛잇어서 배가터지도록 먹고 나왓네요
추천!!!",23.11.12.일
649,산지해장국 중문점,폴라리스 0,"국물이 순수해서 더욱더 맛있는집
때론 줄을 서야하는곳. 추천하는 맛집입니다.내장탕도 잡내없이 여성분들도 선호합니다.",23.5.21.일
650,산지해장국 중문점,짊승48,제주도 올때마다 들리는 내장탕맛집,23.7.13.목
651,산지해장국 중문점,뿌룩띠,꼭리뷰쓰려고 영수증받아왔습니다!! 여행마지막날 아침일찍가서먹었는데 후회했어요 첫날부터매일갈걸 ㅠㅠ 여행다녀와서 제일생각나는 제주도식당입니다 진짜너무맛있고 인생해장국!!입니다 양도 넘많고 사장님도친절하시고 뭐하나빠지는게없습니다 진짜진짜대박나세요!!,23.3.28.화
652,산지해장국 중문점,파랑씨921,"해장국에 진심인 남편도 만족하고 양평해장국을 좋아하는 12세 아들도 내장탕에 입문하게 해주신...ㅋ맛집입니다. 정말 그득그득한 뚝
배기로 속 든든하게 채웠네요. 맛있게 먹고갑니다~!!",23.6.8.목
653,산지해장국 중문점,yeezzing,"산지 해장국 본점에서 먹었을 때랑 맛이 달라요...
국물이 너무 너무 짜고 ㅜㅜ
본점에서 먹었던 맛이 아니였어요ㅜㅜ",23.7.9.일
